,PEAKID,countssummits,countsdeaths,ratio,PKNAME,PKNAME2,LOCATION,HEIGHTM,HEIGHTF,HIMAL,REGION,OPEN,UNLISTED,TREKKING,TREKYEAR,RESTRICT,PHOST,PSTATUS,PEAKMEMO,PYEAR,PSEASON,PEXPID,PSMTDATE,PCOUNTRY,PSUMMITERS,PSMTNOTE,REFERMEMO,PHOTOMEMO
24,EVER,8219,290,0.0352840978221,Everest,"Sagarmatha, Chomolungma, Qomolungma",Khumbu Himal,8850,29035,12,2,True,False,False,,,4,2,,1953.0,1,EVER53101,May 29,"New Zealand, India","Edmund Hillary, Tenzing Norgay Sherpa",,,
19,DHA1,537,83,0.154562383613,Dhaulagiri I,,Dhaulagiri Himal,8167,26795,4,6,True,False,False,,,1,2,,1960.0,1,DHA160101,May 13,"Switzerland, Austria, W Germany, Nepal","Peter Diener, Kurt Diemberger, Albin Schelbert, Ernst Forrer, Nima Dorje Sherpa, Nawang Dorje Sherpa",,,
58,MANA,1132,82,0.0724381625442,Manaslu,"Kutang I, Peak 30",Manaslu Himal,8163,26781,15,4,True,False,False,,,1,2,,1956.0,1,MANA56101,May 09,"Japan, Nepal","Toshio Imanishi, Gyaltsen Norbu Sherpa",,,
1,ANN1,261,71,0.272030651341,Annapurna I,,Annapurna Himal,8091,26545,1,5,True,False,False,,,1,2,,1950.0,1,ANN150101,Jun 03,France,"Maurice Herzog, Louis Lachenal",,,
16,CHOY,3666,50,0.0136388434261,Cho Oyu,,Khumbu Himal (NW of Everest on Tibetan border),8188,26864,12,2,True,False,False,,,4,2,,1954.0,3,CHOY54301,Oct 19,"Austria, Nepal","Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama",,,
44,KANG,328,48,0.146341463415,Kangchenjunga,,Kangchenjunga Himal,8586,28169,9,1,True,False,False,,,5,2,,1955.0,1,KANG55101,May 25,UK,"George Band, Joe Brown",,,
57,MAKA,462,43,0.0930735930736,Makalu,,Makalu Himal,8485,27838,14,2,True,False,False,,,4,2,,1955.0,1,MAKA55101,May 15,France,"Jean Couzy, Lionel Terray",,,
67,PUMO,503,42,0.0834990059642,Pumori,,Khumbu Himal (WNW of Everest on Tibetan border),7138,23419,12,2,True,False,False,,,4,2,,1962.0,1,PUMO62101,May 17,"W Germany, Switzerland","Gerhard Lenser, Ernst Farrer, Ueli Huerlemann, Hans Ruetzel",,,
0,AMAD,3854,28,0.00726517903477,Ama Dablam,Amai Dablang,Khumbu Himal,6814,22356,12,2,True,False,False,,,1,2,,1961.0,1,AMAD61101,Mar 13,"New Zealand, USA, UK","Mike Gill, Wally Romanes, Barry Bishop, Michael Ward",,,
53,LHOT,677,19,0.0280649926145,Lhotse,,Khumbu Himal,8516,27940,12,2,True,False,False,,,4,2,,1956.0,1,LHOT56101,May 18,Switzerland,"Fritz Luchsinger, Ernst Reiss",,,
45,KGUR,80,19,0.2375,Kang Guru,Naurgaon,Peri Himal (SW of Himlung Himal),6981,22904,18,5,True,False,False,,,1,2,,1955.0,2,KGUR55201,Jul 02,W Germany,"Heinz Steinmetz, Fritz Lobbichler, Juergen Wellenkamp",,,
50,LANG,54,16,0.296296296296,Langtang Lirung,Langtang,Langtang Himal,7227,23711,13,3,True,False,False,,,1,2,,1978.0,3,LANG78301,Oct 24,"Japan, Nepal","Seishi Wada, Pemba Tsering Sherpa",,,
21,DHA4,13,14,1.07692307692,Dhaulagiri IV,,Dhaulagiri Himal (W of Dhaulagiri V),7661,25135,4,6,True,False,False,,,1,2,,1975.0,1,DHA475101,May 09,Japan,"Shiro Kawazu, Etsuro Yasuda",1st ascent claimed (summmiters died in fall on descent),,
36,HIME,27,13,0.481481481481,Himalchuli East,Himalchuli Main,Mansiri Himal (SE of Manaslu),7893,25896,15,4,True,False,False,,,1,2,,1960.0,1,HIME60101,May 24,Japan,"Masahiro Harada, Hisashi Tanabe",,,
56,MAK2,78,13,0.166666666667,Makalu II,Kangchungtse,Makalu Himal (NNW of Makalu on Tibetan border),7678,25190,14,2,True,False,False,,,4,2,,1954.0,3,MAK254301,Oct 22,"UK, Nepal","Jean Franco, Lionel Terray, Gyaltsen Norbu Sherpa, Pa Norbu Sherpa",,,
9,BARU,604,13,0.0215231788079,Baruntse,,Khumbu Himal (W of Makalu),7152,23465,12,2,True,False,False,,,1,2,,1954.0,1,BARU54101,May 29,New Zealand,"Colin Todd, Geoff Harrow",,,
31,GANG,41,11,0.268292682927,Gangapurna,,Annapurna Himal (NW of Annapurna III),7455,24459,1,5,True,False,False,,,1,2,,1965.0,1,GANG65101,May 06,"W Germany, Nepal","Gunter Hauser, Ludwig Greissl, Hermann Kollensperger, Erich Reismueller, Ang Temba Sherpa, Phu Dorje Sherpa",,,
65,PISA,12,11,0.916666666667,Pisang,Jong Ri,Damodar Himal (N of Marysangdi Valley),6091,19984,3,5,False,False,True,1978.0,,1,2,,1955.0,1,PISA55201,Jun 10,W Germany,Juergen Wellenkamp,,,
54,LSHR,24,10,0.416666666667,Lhotse Shar,Lhotse II,Khumbu Himal (ESE of Lhotse and Lhotse Middle),8382,27500,12,2,True,False,False,,,4,2,,1970.0,1,LSHR70101,May 12,Austria,"Josef Mayerl, Rolf Walter",,,
77,YALU,53,10,0.188679245283,Yalung Kang,Yalungkar,Kangchenjunga Himal (W summit of Kangchenjunga),8505,27904,9,1,True,False,False,,,1,2,,1973.0,1,YALU73101,May 14,Japan,"Yutaka Ageta, Takao Matsuda",1st ascent claimed,,
3,ANN3,31,9,0.290322580645,Annapurna III,,Annapurna Himal,7555,24787,1,5,True,False,False,,,1,2,,1961.0,1,ANN361101,May 06,India,"Mohan S. Kohli, Sonam Gyatso, Sonam Girmi",,,
74,TILI,147,9,0.0612244897959,Tilicho,Tilitso,Annapurna-Nilgiri Himal (N of Annapurna I),7134,23406,1,5,True,False,False,,,1,2,,1978.0,3,TILI78301,Oct 10,France,Emmanuel Schmutz,Reinhold Messner claimns first ascent in autumn of 1971,,
41,JANU,74,8,0.108108108108,Jannu,Khumbhakarna,Kangchenjunga Himal (W of Kangchenjunga),7711,25299,9,1,True,False,False,,,1,2,,1962.0,1,JANU62101,Apr 27,"France, Nepal","Rene Desmaison, Paul Keller, Robert Paragot, Gyalzen Mitchung Sherpa",,,
7,ANNS,35,8,0.228571428571,Annapurna South,"Annapurna Dakshin, Moditse",Annapurna Himal (S of Annapurna I and Fang),7219,23684,1,5,True,False,False,,,1,2,,1964.0,3,ANNS64301,Oct 15,"Japan, Nepal","Shiochiro Uyeo, Mingma Tsering Sherpa",,,
63,NUPT,20,7,0.35,Nuptse,,Khumbu Himal (SW of Everest),7864,25801,12,2,True,False,False,,,1,2,,1961.0,1,NUPT61101,May 16,"UK, Nepal","Dennis Davis, Tashi Sherpa",1st ascent of W Smt (NUPT-884-01),,
2,ANN2,16,6,0.375,Annapurna II,,Annapurna Himal,7937,26040,1,5,True,False,False,,,1,2,,1960.0,1,ANN260101,May 17,"UK, Nepal","Richard Grant, Chris Bonington, Ang Nyima Sherpa",,,
66,PK29,2,5,2.5,Peak 29,"Ngadi Chuli, Dakura, Dr Harka Gurung Chuli",Manaslu Himal (S of Manaslu),7871,25823,15,4,True,False,False,,,1,2,,1979.0,1,PK2979101,May 08,Poland,"Ryszard Gajewski, Maciej Pawlikowski",1st ascent claimed by Japan (Sumiyoshi) in 1970 (summiters killed in descent),,
40,HIUP,20,5,0.25,Hiunchuli,Patal Hiunchuli,Annapurna Himal (E of Annapurna South),6434,21109,1,5,False,False,True,1978.0,,1,2,,1971.0,3,HIUP71301,Oct 10,USA,"Craig Anderson, Peter Cross, Jim Richards, John Skow, Lane Smith",,,
4,ANN4,126,5,0.0396825396825,Annapurna IV,,Annapurna Himal,7525,24688,1,5,True,False,False,,,1,2,,1955.0,1,ANN455101,May 30,W Germany,"Heinz Steinmetz, Harald Biller, Juergen Wellenkamp",,,
20,DHA2,25,4,0.16,Dhaulagiri II,,Dhaulagiri Himal (NW of Dhaulagiri I),7751,25430,4,6,True,False,False,,,1,2,,1971.0,1,DHA271101,May 18,"Austria, USA, Nepal","Adolf Huber, Ronald Fear, Adi Weissensteiner, Jangbu Sherpa",,,
38,HIML,409,4,0.00977995110024,Himlung Himal,,Peri Himal (NW of Manaslu near Tibetan border),7126,23379,18,5,True,False,False,,,1,2,,1992.0,1,HIML92301,Oct 03,"Japan, Nepal","Osamu Hanai, Akio Koizumi, Nima Sherpa",Expeditions to Himlung prior to 1992 were probably climbing Nemjung,,
29,GAN4,22,4,0.181818181818,Ganesh IV,Pabil,Ganesh Himal (SW of Ganesh I),7104,23307,5,4,True,False,False,,,1,2,,1978.0,3,GAN478301,Oct 20,"Japan, Nepal","T Tomita, H Yoshio, K Aoyagi, M Hashimoto, Y Hashimoto, Y Okuma, T Shimoji, T Suzuki, I Yasuda, Yogendra Thapa, Kamal Bhandari, Mingma Tenzing Sherpa, Sonan Wolang Sherpa",,,
30,GAN5,19,4,0.210526315789,Ganesh V,Lapsang Karbo,Ganesh Himal (SE of Ganesh I on Tibetan border),6770,22211,5,4,True,False,False,,,4,2,,1980.0,1,GAN580101,Apr 21,"Japan, Nepal","Tatsumi Sasaki, Akihiko Komori, Lhakpa Dorje Sherpa, Nima Tenzing Sherpa, Nima Nuru Sherpa",,,
18,CHRW,14,4,0.285714285714,Churen Himal West,,Dhaulagiri Himal (NW of Dhaulagiri VI),7371,24183,4,6,True,False,False,,One permit for Churen Himal's three summits,1,2,,1970.0,3,CHRW70301,Oct 28,"Japan, Nepal","Kozo Hasegawa, Ang Norbu Sherpa",,,
34,GURJ,30,4,0.133333333333,Gurja Himal,,Dhaulagiri Himal (S of Dhaulagiri VI),7193,23599,4,6,True,False,False,,,1,2,,1969.0,3,GURJ69301,Nov 01,"Japan, Nepal","Tomokuni Saeki, Lhakpa Tenzing Sherpa",,,
22,DHA5,19,4,0.210526315789,Dhaulagiri V,,Dhaulagiri Himal (SW of Dhaulagiri III),7618,24993,4,6,True,False,False,,,1,2,,1975.0,1,DHA575101,May 01,"Japan, Nepal","Masaaki Morioka, Pemba Tsering Sherpa",,,
8,APIM,23,4,0.173913043478,Api Main,,Api Himal,7132,23399,2,7,True,False,False,,,1,2,,1960.0,1,APIM60101,May 10,"Japan, Nepal","Katsutoshi Hirabayashi, Gyaltsen Norbu Sherpa",1st ascent claimed by UK (H. S. Landor) in 1899 but probably reached only 5000m,,
52,LEON,18,3,0.166666666667,Leonpo Gang,"Dorje Pahad, Big White Peak",Jugal Himal (NNE of Dorje Lhakpa on Tibetan border),6979,22897,8,3,True,False,False,,,4,2,,1962.0,1,LEON62101,May 03,Japan,"Tadashi Morita, Kazunari Yasuhisa",,,
68,PUTH,269,3,0.0111524163569,Putha Hiunchuli,Dhaulagiri VII,Dhaulagiri Himal (W of Churen Himal),7246,23773,4,6,True,False,False,,,1,2,,1954.0,3,PUTH54301,Nov 11,"UK, Nepal","J. O. M. Roberts, Ang Nyima Sherpa",,,
55,LSIS,29,3,0.103448275862,Langshisa Ri,Langsisa Ri,Jugal Himal (NW of Dorje Lhakpa),6412,21037,8,3,False,False,True,2002.0,Converted to trekking peak in 2002,1,2,,1982.0,1,LSIS82101,Apr 23,"Japan, Nepal","Takuya Kajimoto, Pasang Norbu Sherpa",,,
73,THUL,4,3,0.75,Thulagi,Mansiri Himal,Manaslu Himal (SW of Manaslu),7059,23159,15,4,True,False,False,,Opened in 2003,1,2,,2015.0,3,THUL15301,Sep 26,Russia,"Alexander Gukov, Ivan Dozhdev, Ruslan Kirichenko, Valeri Shamalo",,,
6,ANNM,15,3,0.2,Annapurna I - Middle Smt,,Annapurna Himal (ENE of Annapurna I),8051,26414,1,5,True,False,False,,Requires permit for Annapurna I,1,2,,1980.0,3,ANNM80301,Oct 03,W Germany,"Udo Boening, Ludwig Greissl, Heinz Oberrauch",,,
39,HIMN,7,3,0.428571428571,Himalchuli North,,"Mansiri Himal (SE of Manaslu, WNW of Himalchuli Main)",7331,24052,15,4,True,False,False,,,1,2,,1985.0,3,HIMN85302,Oct 27,"S Korea, Nepal","Lee Jae-Hong, Ang Pasang Sherpa, Jangbu Sherpa, Lhakpa Norbu Sherpa, Pasang Dawa Sherpa",,,
27,GAN2,9,3,0.333333333333,Ganesh II,,Ganesh Himal (WSW of Ganesh I),7118,23353,5,4,True,False,False,,,1,2,,1981.0,3,GAN281302,Oct 16,"W Germany, Nepal","Hermann Warth, Ang Chepal Sherpa, Nga Temba Sherpa, Nima Tenzing Sherpa",Note: This mountain previously known as Ganesh III till re-surveyed in early 1990's.,,
33,GIMM,25,3,0.12,Gimmigela Chuli,Twins,Kangchenjunga Himal (N of Kangchenjunga on Indian border),7350,24114,9,1,True,False,False,,,5,2,,1994.0,3,GIMM94301,Oct 29,"Japan, Nepal","Shigeru Yokokuwa, Dawa Wangchuk Sherpa, Pasang Gyalzen Sherpa, Pasang Tenzing Sherpa",,,
25,FANG,6,3,0.5,Fang,"Varaha Shikhar, Varaha Chuli, Finger",Annapurna Himal (SW of Annapurna I),7647,25089,1,5,True,False,False,,,1,2,,1980.0,1,FANG80101,May 17,"Austria, Nepal","Sepp Mayerl, Hermann Neumair, Ang Chepal Sherpa",,,
49,KWAN,22,2,0.0909090909091,Kwangde,,Rolwaling Himal (W of Namche Bazar),6186,20295,19,2,False,False,True,1978.0,,1,2,,1978.0,3,KWAN78301,Nov 11,Japan,"Takashi Iwahashi, Yoshihisa Ishikawa, Seiji Ogawa",,,
72,TAWO,33,2,0.0606060606061,Tawoche,Taboche,Khumbu Himal (NW of Ama Dablam),6495,21309,12,2,True,False,False,,,1,2,,1974.0,1,TAWO74101,Apr 15,France,"Louis Dubost, Paul Gendre",,,
35,GYAC,26,2,0.0769230769231,Gyachung Kang,,Khumbu Himal (E of Cho Oyu on Tibetan border),7861,25791,12,2,True,False,False,,,4,2,,1964.0,1,GYAC64101,Apr 10,"Japan, Nepal","Yukihiko Kato, Kiyoto Sakaizawa, Pasang Phutar Sherpa (I)",,,
69,RAKS,6,2,0.333333333333,Raksha Urai,Raksha Urai III,Raksha Urai Himal (ESE of Nampa),6609,21683,2,7,True,False,False,,,1,2,,2003.0,3,RAKS03301,Oct 15,"France, Nepal","Arnaud Clere, Catherine Couland, Gael Faroux, Keshab Raj Gurung",,,
23,DORJ,77,2,0.025974025974,Dorje Lhakpa,,Jugal Himal (near Tibetan border),6966,22854,8,3,True,False,False,,,1,2,,1981.0,3,DORJ81301,Oct 18,"Japan, Nepal","Kunio Kataoka, Makoto Anbe, Kazunari Murakami, Eiichi Shingyoji, Pemba Tsering Sherpa",Rumored that two British climbers summited via the W Ridge in 1979 (Dick Isherwood and Geoff Cohen),,
75,TKPO,9,2,0.222222222222,Tengkangpoche,Thyangmoche,Rolwaling Himal (W of Kwangde),6482,21266,19,2,True,False,False,,Opened in 2001,1,2,,1984.0,3,TKPO84301,Oct,"UK, USA","Trevor Pilling, Andy Zimet",,,
76,TUKU,114,2,0.0175438596491,Tukuche,,Dhaulagiri Himal (NE of Dhaulagiri I),6920,22703,4,6,True,False,False,,,1,2,,1970.0,1,TUKU70101,Apr 30,Japan,"Hirosuke Kikuchi, Eiho Otani, Takao Yonemoto",1st unofficial ascent by USA in 1968?,,
15,CHOB,12,2,0.166666666667,Chobuje,"Chobutse, Tsoboje",Rolwaling Himal (NE of Tsho Rolpa),6686,21936,19,2,True,False,False,,,1,2,,1972.0,1,CHOB72101,Apr 24,W Germany,"Wolfgang Weinzierl, Peter Vogler, Gustav Harder, Klaus Harder",Illegal ascent,,
71,TASH,33,1,0.030303030303,Tashi Kang,Tashi Khang,Mukut Himal (N of Dhampus Peak),6386,20951,16,6,True,False,False,,Opened in 2002,1,2,,2002.0,2,TASH02201,Aug 14,"Japan, Nepal","Yasue Mogi, Gyalzen Sherpa",,,
70,SHA2,5,1,0.2,Shartse II,Junction Peak,Khumbu Himal (E of Lhotse Shar on Tibetan border),7457,24465,12,2,True,False,False,,,4,2,,1974.0,1,SHA274101,May 23,"Austria, W Germany","Kurt Diemburger, Hermann Warth",,,
62,NILS,9,1,0.111111111111,Nilgiri South,,Annapurna-Nilgiri Himal (NW of Annapurna I),6839,22438,1,5,True,False,False,,,1,2,,1978.0,3,NILS78301,Oct 10,Japan,"Kazuo Mitsui, Taichi Fujimatsu, Yoshiaki Kato, Nobuhito Morota, Seiji Tanaka, Hideki Yoshida",,,
17,CHRE,4,1,0.25,Churen Himal East,,Dhaulagiri Himal (NW of Dhaulagiri VI),7371,24183,4,6,True,False,False,,One permit for Churen Himal's three summits,1,2,,1970.0,1,CHRE70101,Apr 29,"S Korea, Nepal","Kim Ho-Sup, Rinsing Ongyal Sherpa",,,
26,GAN1,3,1,0.333333333333,Ganesh I,Yangra Kangri,Ganesh Himal (on Tibetan border),7422,24350,5,4,True,False,False,,,4,2,,1955.0,3,GAN155301,Oct 24,"Switzerland, France","Raymond Lambert, Eric Gauchat, Claude Kogan",,,
28,GAN3,11,1,0.0909090909091,Ganesh III,"Salasungo, Kang Lombo",Ganesh Himal (S of Ganesh I on Tibetan border),7043,23107,5,4,True,False,False,,,4,2,,1979.0,3,GAN379301,Oct 19,"Japan, Nepal","Hideo Ogura, Pemba Tshering Sherpa, Dawa Norbu Sherpa",Note: This mountain previously known as Ganesh II till re-surveyed in early 1990's.,,
64,PASA,25,1,0.04,Pasang Lhamu Chuli,Jasemba,Khumbu Himal (W of Cho Oyu & Cho Aui on Tibetan border),7350,24114,12,2,True,False,False,,,4,2,,1986.0,3,PASA86301,Oct 12,Japan,"Katsushi Emura, Yukitoshi Endo, Katsuo Matsuki, Yoshihiro Shikoda",,,
43,JONG,11,1,0.0909090909091,Jongsang,"Jonsong, Jhinsang",Jongsang Himal (on Indian-Tibetan border),7462,24482,7,1,True,False,False,,,6,2,,1930.0,1,JONG30101,Jun 03,"Germany, Austria","Hermann Hoerlin, Erwin Schneider",,,
61,NGO2,8,1,0.125,Ngojumba Kang II,,Khumbu Himal (NE of Cho Oyu on Tibetan border),7743,25404,12,2,True,False,False,,,4,2,,1965.0,1,NGO265101,Apr 24,"Japan, Nepal","Naomi Uemura, Pemba Tenzing Sherpa",,,
12,CHAM,18,1,0.0555555555556,Chamlang,,"Khumbu Himal (in Hongku Valley, SW of Makalu)",7321,24019,12,2,True,False,False,,,1,2,,1962.0,1,CHAM62101,May 31,"Japan, Nepal","So Anma, Pasang Phutar Sherpa (I)",,,
59,MARD,6,1,0.166666666667,Mardi Himal,,Annapurna Himal (SW of Machhapuchhare),5553,18219,1,5,False,False,True,1978.0,,1,2,,1962.0,1,MARD62101,Apr 23,"UK, Nepal","J. O. M. Roberts, Ang Tshering Sherpa, Tenzing Nindra Sherpa",,,
32,GAUR,6,1,0.166666666667,Gaurishankar,Jomo Tseringma,Rolwaling Himal (on Tibetan border),7135,23409,19,2,True,False,False,,,4,2,,1979.0,1,GAUR79101,May 08,"US, Nepal","John Roskelley, Dorje Sherpa",,,
5,ANNE,17,1,0.0588235294118,Annapurna I - East Smt,,Annapurna Himal (ENE of Annapurna I),8026,26332,1,5,True,False,False,,Requires permit for Annapurna I,1,2,,1974.0,1,ANNE74101,Apr 29,Spain,"Jose Manuel Anglada Nieto, Jorge Pons Sangines, Emilio Givis Abad",,,
14,CHMN,5,1,0.2,Chamar North,Peak 23,Shringi Himal,7165,23507,5,4,True,False,False,,Opened in 2014,1,2,,1953.0,1,CHMN53101,Jun 05,"New Zealand, Nepal","Maurice Bishop, Nyamgel Sherpa",,,
37,HIMJ,2,1,0.5,Himjung,Nemjung Goth,Peri Himal (S of Himlung Himal),7092,23268,18,5,True,False,False,20.0,Opened in 2002,1,2,,2012.0,3,HIMJ12301,Oct 12,S Korea,"Kim Chang-Ho, An Chi-Young",,,
13,CHEO,4,1,0.25,Cheo Himal,,Peri Himal (ESE of Himlung Himal on Tibetan border),6820,22375,18,5,True,False,False,,,4,2,,1991.0,3,CHEO91301,Oct 13,"Japan, Nepal","Dambar Bahadur Gurung, Shigeki Imoto, Ful Bahadur Rai, Pasang Tshering Sherpa",,,
51,LANR,20,1,0.05,Langtang Ri,,Langtang Himal (NE of Langtang Lirung on Tibetan border),7205,23638,13,3,True,False,False,,,4,2,,1981.0,3,LANR81301,Oct 10,"Japan, Nepal","Soichi Nasu, Makihiro Wakao, Noboru Yamada, Ang Rinji Sherpa",,,
10,BAUD,8,1,0.125,Baudha,,Mansiri Himal (SE of Manaslu and Himalchuli),6672,21890,15,4,True,False,False,,,1,2,,1970.0,1,BAUD70101,May 02,Japan,"Yoshiyuki Kobayashi, Kiyoyasu Shibata",,,
42,JETH,3,1,0.333333333333,Jethi Bahurani,"Jettiborani, Jutibofurani",Api Himal (S of Nampa and Bobaye),6850,22474,2,7,True,False,False,,,1,2,,1978.0,1,JETH78101,Apr 27,Japan,"Kazuo Mitsui, Nobuhito Morota, Hideki Yoshida",,,
48,KUSU,28,1,0.0357142857143,Kusum Kanguru,"Kusum Kang, Lamu",Khumbu Himal (NE of Lukla village),6370,20899,12,2,False,False,True,1978.0,,1,2,,1981.0,3,KUSU81302,Oct 07,New Zealand,Bill Denz,,,
47,KTEG,45,1,0.0222222222222,Kangtega,"Kantega, Khangtega, Kang Taiga",Khumbu Himal (SW of Ama Dablam),6783,22254,12,2,True,False,False,,,1,2,,1963.0,1,KTEG63101,Jun 05,"New Zealand, USA","David Dornan, Tom Frost, Michael Gill, Jim Wilson",,,
46,KOTA,19,1,0.0526315789474,Kotang,"Kokthang, Kothang Kang",Simhalila Himal (SSW of Rothang on Indian border),6148,20171,9,1,True,False,False,,,5,2,,1982.0,3,KOTA82301,Oct 11,Inida,"K. V. Cherian, Nima Tashi Sherpa, Ang Norbu, Ki Kami Sherpa",,,
11,CHAK,9,1,0.111111111111,Chako,,Damodar Himal (ESE of Bhrikuti Shail),6704,21995,3,5,True,False,False,,Opened in 2003,1,2,,2007.0,2,CHAK07201,Jul 24,"Japan, Nepal","Kazhisa Kamisaka, Akio Omura, Hari Bahadur Chaulagai, Ang Phuri Lama",,,
60,NAMP,4,1,0.25,Nampa,Chisel Peak,Api Himal (E of Api),6729,22077,2,7,True,False,False,,,1,2,,1972.0,1,NAMP72101,May 05,Japan,"Fukutoshi Kimura, Susumu Takahashi",,,
